Date,Time,Power(dBm)
2018/6/4,9:25:44,-76
2018/6/4,9:28:44,-75
2018/6/4,9:31:44,-77
2018/6/4,9:34:44,-75
2018/6/4,9:37:44,-76
2018/6/4,9:40:44,-76
2018/6/4,9:43:44,-75
2018/6/4,9:46:44,-76
2018/6/4,9:49:44,-78
2018/6/4,9:52:44,-77
2018/6/4,9:55:44,-75
2018/6/4,9:58:44,-75
2018/6/4,10:01:44,-76
2018/6/4,10:04:44,-76
2018/6/4,10:07:44,-76
2018/6/4,10:10:44,-76
2018/6/4,10:13:44,-77
2018/6/4,10:16:44,-77
2018/6/4,10:19:44,-75
2018/6/4,10:22:44,-76
2018/6/4,10:25:44,-77
2018/6/4,10:28:44,-75
2018/6/4,10:31:44,-77
2018/6/4,10:34:44,-75
2018/6/4,10:37:44,-75
2018/6/4,10:40:44,-75
2018/6/4,10:43:44,-75
2018/6/4,10:46:44,-74
2018/6/4,10:49:44,-76
2018/6/4,10:52:44,-75
2018/6/4,10:55:44,-74
2018/6/4,10:58:44,-75
2018/6/4,11:01:44,-76
2018/6/4,11:04:44,-73
2018/6/4,11:07:44,-75
2018/6/4,11:10:44,-75
2018/6/4,11:13:44,-75
2018/6/4,11:16:44,-77
2018/6/4,11:19:44,-75
2018/6/4,11:22:44,-75
2018/6/4,11:25:44,-75
2018/6/4,11:28:44,-74
2018/6/4,11:31:44,-75
2018/6/4,11:34:44,-74
2018/6/4,11:37:44,-76
2018/6/4,11:40:44,-74
2018/6/4,11:43:44,-75
2018/6/4,11:46:44,-76
2018/6/4,11:49:44,-73
2018/6/4,11:52:44,-87
2018/6/4,11:55:44,-85
2018/6/4,11:58:44,-87
2018/6/4,12:01:44,-86
2018/6/4,12:04:44,-86
2018/6/4,12:07:45,-88
2018/6/4,12:10:45,-86
2018/6/4,12:13:45,-86
2018/6/4,12:16:45,-81
2018/6/4,12:19:45,-87
2018/6/4,12:22:45,-86
2018/6/4,12:25:45,-86
2018/6/4,12:28:45,-84
2018/6/4,12:31:45,-87
2018/6/4,12:34:45,-87
2018/6/4,12:37:45,-86
2018/6/4,12:40:45,-86
2018/6/4,12:43:45,-86
2018/6/4,12:46:45,-86
2018/6/4,12:49:45,-82
2018/6/4,12:52:45,-86
2018/6/4,12:55:45,-85
2018/6/4,12:58:45,-84
2018/6/4,13:01:45,-87
2018/6/4,13:04:45,-86
2018/6/4,13:07:45,-84
2018/6/4,13:10:45,-86
2018/6/4,13:13:45,-85
2018/6/4,13:16:45,-84
2018/6/4,13:19:45,-86
2018/6/4,13:22:45,-86
2018/6/4,13:25:45,-81
2018/6/4,13:28:45,-87
2018/6/4,13:31:45,-81
2018/6/4,13:34:45,-87
2018/6/4,13:37:45,-84
2018/6/4,13:40:45,-86
2018/6/4,13:43:45,-84
2018/6/4,13:46:45,-87
2018/6/4,13:49:45,-85
2018/6/4,13:52:45,-84
2018/6/4,13:55:45,-85
2018/6/4,13:58:45,-85
2018/6/4,14:01:45,-86
2018/6/4,14:04:45,-86
2018/6/4,14:07:45,-84
2018/6/4,14:10:45,-85
2018/6/4,14:13:45,-85
2018/6/4,14:16:45,-76
2018/6/4,14:19:45,-75
2018/6/4,14:22:45,-75
2018/6/4,14:25:45,-76
2018/6/4,14:28:45,-75
2018/6/4,14:31:45,-77
2018/6/4,14:34:45,-75
2018/6/4,14:37:45,-75
2018/6/4,14:40:45,-74
2018/6/4,14:43:45,-75
2018/6/4,14:46:45,-75
2018/6/4,14:49:45,-74
2018/6/4,14:52:45,-75
2018/6/4,14:55:45,-75
2018/6/4,14:58:45,-75
2018/6/4,15:01:45,-76
2018/6/4,15:04:45,-75
2018/6/4,15:07:45,-76
2018/6/4,15:10:45,-76
2018/6/4,15:13:45,-76
2018/6/4,15:16:45,-77
2018/6/4,15:19:45,-76
2018/6/4,15:22:45,-76
2018/6/4,15:25:45,-76
2018/6/4,15:28:45,-75
2018/6/4,15:31:45,-74
2018/6/4,15:34:45,-74
2018/6/4,15:37:45,-76
2018/6/4,15:40:45,-75
2018/6/4,15:43:45,-76
2018/6/4,15:46:45,-75
2018/6/4,15:49:45,-76
2018/6/4,15:52:45,-76
2018/6/4,15:55:45,-76
2018/6/4,15:58:45,-75
2018/6/4,16:01:45,-77
2018/6/4,16:04:45,-76
2018/6/4,16:07:45,-75
2018/6/4,16:10:45,-75
2018/6/4,16:13:45,-76
2018/6/4,16:16:45,-76
2018/6/4,16:19:45,-75
2018/6/4,16:22:45,-75
2018/6/4,16:25:45,-76
2018/6/4,16:28:45,-75
2018/6/4,16:31:45,-75
2018/6/4,16:34:45,-76
2018/6/4,16:37:45,-76
2018/6/4,16:40:45,-76
2018/6/4,16:43:45,-75
2018/6/4,16:46:45,-75
2018/6/4,16:49:45,-76
2018/6/4,16:52:45,-76
2018/6/4,16:55:45,-75
2018/6/4,16:58:45,-74
2018/6/4,17:01:45,-74
2018/6/4,17:04:45,-76
2018/6/4,17:07:45,-77
2018/6/4,17:10:45,-75
2018/6/4,17:13:45,-76
2018/6/4,17:16:45,-75
2018/6/4,17:19:46,-87
2018/6/4,17:22:46,-82
2018/6/4,17:25:46,-87
2018/6/4,17:28:46,-86
2018/6/4,17:31:46,-86
2018/6/4,17:34:46,-83
2018/6/4,17:37:46,-81
2018/6/4,17:40:46,-83
2018/6/4,17:43:46,-86
2018/6/4,17:46:46,-86
2018/6/4,17:49:46,-86
2018/6/4,17:52:46,-87
2018/6/4,17:55:46,-86
2018/6/4,17:58:46,-85
2018/6/4,18:01:46,-85
2018/6/4,18:04:46,-86
2018/6/4,18:07:46,-86
2018/6/4,18:10:46,-83
2018/6/4,18:13:46,-83
2018/6/4,18:16:46,-86
2018/6/4,18:19:46,-88
2018/6/4,18:22:46,-85
2018/6/4,18:25:46,-85
2018/6/4,18:28:46,-84
2018/6/4,18:31:46,-81
2018/6/4,18:34:46,-86
2018/6/4,18:37:46,-77
2018/6/4,18:40:46,-85
2018/6/4,18:43:46,-84
2018/6/4,18:46:46,-83
2018/6/4,18:49:46,-85
2018/6/4,18:52:46,-84
2018/6/4,18:55:46,-83
2018/6/4,18:58:46,-80
2018/6/4,19:01:46,-83
2018/6/4,19:04:46,-76
2018/6/4,19:07:46,-77
2018/6/4,19:10:46,-74
2018/6/4,19:13:46,-76
2018/6/4,19:16:46,-74
2018/6/4,19:19:46,-77
2018/6/4,19:22:46,-74
2018/6/4,19:25:46,-75
2018/6/4,19:28:46,-75
2018/6/4,19:31:46,-76
2018/6/4,19:34:46,-75
2018/6/4,19:37:46,-73
2018/6/4,19:40:46,-75
2018/6/4,19:43:46,-75
2018/6/4,19:46:46,-73
2018/6/4,19:49:46,-70
2018/6/4,19:52:46,-75
2018/6/4,19:55:46,-74
2018/6/4,19:58:46,-72
2018/6/4,20:01:46,-69
2018/6/4,20:04:46,-68
2018/6/4,20:07:46,-73
2018/6/4,20:10:46,-70
2018/6/4,20:13:46,-72
2018/6/4,20:16:46,-74
2018/6/4,20:19:46,-70
2018/6/4,20:22:46,-73
2018/6/4,20:25:46,-74
2018/6/4,20:28:46,-74
2018/6/4,20:31:46,-73
2018/6/4,20:34:46,-72
2018/6/4,20:37:46,-73
2018/6/4,20:40:46,-74
2018/6/4,20:43:46,-69
2018/6/4,20:46:46,-67
2018/6/4,20:49:46,-73
2018/6/4,20:52:46,-65
2018/6/4,20:55:46,-67
2018/6/4,20:58:46,-71
2018/6/4,21:01:46,-68
2018/6/4,21:04:46,-72
2018/6/4,21:07:46,-72
2018/6/4,21:10:46,-70
2018/6/4,21:13:46,-72
2018/6/4,21:16:46,-70
2018/6/4,21:19:46,-65
2018/6/4,21:22:46,-75
2018/6/4,21:25:46,-69
2018/6/4,21:28:46,-66
2018/6/4,21:31:46,-72
2018/6/4,21:34:46,-67
2018/6/4,21:37:46,-71
2018/6/4,21:40:46,-67
2018/6/4,21:43:46,-72
2018/6/4,21:46:46,-71
2018/6/4,21:49:46,-70
2018/6/4,21:52:46,-67
2018/6/4,21:55:46,-66
2018/6/4,21:58:46,-73
2018/6/4,22:01:46,-65
2018/6/4,22:04:46,-72
2018/6/4,22:07:46,-72
2018/6/4,22:10:46,-75
2018/6/4,22:13:46,-71
2018/6/4,22:16:46,-70
2018/6/4,22:19:46,-68
2018/6/4,22:22:46,-71
2018/6/4,22:25:46,-76
2018/6/4,22:28:46,-74
2018/6/4,22:31:46,-70
2018/6/4,22:34:47,-64
2018/6/4,22:37:47,-61
2018/6/4,22:40:47,-64
2018/6/4,22:43:47,-63
2018/6/4,22:46:47,-63
2018/6/4,22:49:47,-67
2018/6/4,22:52:47,-75
2018/6/4,22:55:47,-72
2018/6/4,22:58:47,-69
2018/6/4,23:01:47,-71
2018/6/4,23:04:47,-74
2018/6/4,23:07:47,-68
2018/6/4,23:10:47,-73
2018/6/4,23:13:47,-67
2018/6/4,23:16:47,-67
2018/6/4,23:19:47,-67
2018/6/4,23:22:47,-71
2018/6/4,23:25:47,-67
2018/6/4,23:28:47,-61
2018/6/4,23:31:47,-84
2018/6/4,23:34:47,-64
2018/6/4,23:37:47,-66
2018/6/4,23:40:47,-65
2018/6/4,23:43:47,-66
2018/6/4,23:46:47,-67
2018/6/4,23:49:47,-75
2018/6/4,23:52:47,-70
2018/6/4,23:55:47,-71
2018/6/4,23:58:47,-65
2018/6/5,0:01:47,-70
2018/6/5,0:04:47,-61
2018/6/5,0:07:47,-72
2018/6/5,0:10:47,-68
2018/6/5,0:13:47,-66
2018/6/5,0:16:47,-66
2018/6/5,0:19:47,-70
2018/6/5,0:22:47,-66
2018/6/5,0:25:47,-64
2018/6/5,0:28:47,-64
2018/6/5,0:31:47,-73
2018/6/5,0:34:47,-72
2018/6/5,0:37:47,-67
2018/6/5,0:40:47,-77
2018/6/5,0:43:47,-66
2018/6/5,0:46:47,-73
2018/6/5,0:49:47,-66
2018/6/5,0:52:47,-68
2018/6/5,0:55:47,-66
2018/6/5,0:58:47,-72
2018/6/5,1:01:47,-78
2018/6/5,1:04:47,-72
2018/6/5,1:07:47,-66
2018/6/5,1:10:47,-71
2018/6/5,1:13:47,-69
2018/6/5,1:16:47,-69
2018/6/5,1:19:47,-74
2018/6/5,1:22:47,-81
2018/6/5,1:25:47,-68
2018/6/5,1:28:47,-65
2018/6/5,1:31:47,-64
2018/6/5,1:34:47,-75
2018/6/5,1:37:47,-70
2018/6/5,1:40:47,-77
2018/6/5,1:43:47,-81
2018/6/5,1:46:47,-73
2018/6/5,1:49:47,-72
2018/6/5,1:52:47,-83
2018/6/5,1:55:47,-70
2018/6/5,1:58:47,-72
2018/6/5,2:01:47,-73
2018/6/5,2:04:47,-68
2018/6/5,2:07:47,-64
2018/6/5,2:10:47,-68
2018/6/5,2:13:47,-70
2018/6/5,2:16:47,-71
2018/6/5,2:19:47,-66
2018/6/5,2:22:47,-72
2018/6/5,2:25:47,-67
2018/6/5,2:28:47,-65
2018/6/5,2:31:47,-73
2018/6/5,2:34:47,-81
2018/6/5,2:37:47,-64
2018/6/5,2:40:47,-67
2018/6/5,2:43:47,-66
2018/6/5,2:46:47,-63
2018/6/5,2:49:47,-66
2018/6/5,2:52:47,-71
2018/6/5,2:55:47,-71
2018/6/5,2:58:47,-70
2018/6/5,3:01:47,-76
2018/6/5,3:04:47,-66
2018/6/5,3:07:47,-73
2018/6/5,3:10:47,-71
2018/6/5,3:13:47,-71
2018/6/5,3:16:47,-71
2018/6/5,3:19:47,-66
2018/6/5,3:22:47,-72
2018/6/5,3:25:47,-67
2018/6/5,3:28:47,-68
2018/6/5,3:31:47,-68
2018/6/5,3:34:47,-80
2018/6/5,3:37:47,-68
2018/6/5,3:40:47,-75
2018/6/5,3:43:47,-69
2018/6/5,3:46:47,-69
2018/6/5,3:49:48,-81
2018/6/5,3:52:48,-68
2018/6/5,3:55:48,-70
2018/6/5,3:58:48,-65
2018/6/5,4:01:48,-71
2018/6/5,4:04:48,-67
2018/6/5,4:07:48,-73
2018/6/5,4:10:48,-81
2018/6/5,4:13:48,-66
2018/6/5,4:16:48,-65
2018/6/5,4:19:48,-67
2018/6/5,4:22:48,-67
2018/6/5,4:25:48,-64
2018/6/5,4:28:48,-57
2018/6/5,4:31:48,-68
2018/6/5,4:34:48,-77
2018/6/5,4:37:48,-67
2018/6/5,4:40:48,-75
2018/6/5,4:43:48,-71
2018/6/5,4:46:48,-69
2018/6/5,4:49:48,-63
2018/6/5,4:52:48,-73
2018/6/5,4:55:48,-65
2018/6/5,4:58:48,-66
2018/6/5,5:01:48,-82
2018/6/5,5:04:48,-74
2018/6/5,5:07:48,-74
2018/6/5,5:10:48,-77
2018/6/5,5:13:48,-75
2018/6/5,5:16:48,-80
2018/6/5,5:19:48,-73
2018/6/5,5:22:48,-72
2018/6/5,5:25:48,-84
2018/6/5,5:28:48,-79
2018/6/5,5:31:48,-81
2018/6/5,5:34:48,-72
2018/6/5,5:37:48,-75
2018/6/5,5:40:48,-78
2018/6/5,5:43:48,-86
2018/6/5,5:46:48,-77
2018/6/5,5:49:48,-85
2018/6/5,5:52:48,-79
2018/6/5,5:55:48,-82
2018/6/5,5:58:48,-82
2018/6/5,6:01:48,-86
2018/6/5,6:04:48,-84
2018/6/5,6:07:48,-83
2018/6/5,6:10:48,-84
2018/6/5,6:13:48,-85
2018/6/5,6:16:48,-85
2018/6/5,6:19:48,-83
2018/6/5,6:22:48,-82
2018/6/5,6:25:48,-83
2018/6/5,6:28:48,-83
2018/6/5,6:31:48,-86
2018/6/5,6:34:48,-86
2018/6/5,6:37:48,-85
2018/6/5,6:40:48,-87
2018/6/5,6:43:48,-86
2018/6/5,6:46:48,-85
2018/6/5,6:49:48,-83
2018/6/5,6:52:48,-87
2018/6/5,6:55:48,-83
2018/6/5,6:58:48,-87
2018/6/5,7:01:48,-86
2018/6/5,7:04:48,-87
2018/6/5,7:07:48,-87
2018/6/5,7:10:48,-86
2018/6/5,7:13:48,-87
2018/6/5,7:16:48,-87
2018/6/5,7:19:48,-86
2018/6/5,7:22:48,-87
2018/6/5,7:25:48,-87
2018/6/5,7:28:48,-87
2018/6/5,7:31:48,-85
2018/6/5,7:34:48,-79
2018/6/5,7:37:48,-86
2018/6/5,7:40:48,-88
2018/6/5,7:43:48,-83
2018/6/5,7:46:48,-87
2018/6/5,7:49:48,-87
2018/6/5,7:52:48,-88
2018/6/5,7:55:48,-85
2018/6/5,7:58:48,-87
2018/6/5,8:01:48,-87
2018/6/5,8:04:48,-85
2018/6/5,8:07:48,-87
2018/6/5,8:10:48,-86
2018/6/5,8:13:48,-83
2018/6/5,8:16:48,-85
2018/6/5,8:19:48,-85
2018/6/5,8:22:48,-85
2018/6/5,8:25:48,-84
2018/6/5,8:28:48,-85
2018/6/5,8:31:48,-86
2018/6/5,8:34:48,-85
2018/6/5,8:37:48,-85
2018/6/5,8:40:48,-85
2018/6/5,8:43:48,-85
2018/6/5,8:46:48,-83
2018/6/5,8:49:48,-81
2018/6/5,8:52:48,-85
2018/6/5,8:55:48,-84
2018/6/5,8:58:48,-85
2018/6/5,9:01:49,-84
2018/6/5,9:04:49,-83
2018/6/5,9:07:49,-85
2018/6/5,9:10:49,-83
2018/6/5,9:13:49,-86
2018/6/5,9:16:49,-86
2018/6/5,9:19:49,-84
2018/6/5,9:22:49,-85
2018/6/5,9:25:49,-86
